story_id,precision,recall,fpr,f1
0,0.9902912621359223,0.6257668711656442,0.05555555555555555,0.7669172932330828
1,1.0,0.0392156862745098,0.0,0.07547169811320754
2,0.9523809523809523,0.20833333333333334,1.0,0.3418803418803419
3,0.9642857142857143,0.47703180212014135,0.19230769230769232,0.6382978723404256
5,0.8625592417061612,0.8310502283105022,1.0,0.8465116279069769
8,1.0,0.16666666666666666,0.0,0.2857142857142857
9,1.0,0.5348837209302325,0.0,0.6969696969696969
16,0.9807692307692307,0.42857142857142855,0.03125,0.5964912280701754
17,0.8089171974522293,0.6318407960199005,0.39473684210526316,0.7094972067039106
19,1.0,0.1702127659574468,0.0,0.2909090909090909
